event_id,evidence_role,source_url,title,organization,publication_or_event_date,retrieved_at_utc,extracted_fact,local_evidence_file,sha256
CA_943bf15d9518ab3239fe,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2014&to_date=28-02-2014,NSE corporate-action source record,NSE,2014-02-13,2026-09-14T16:49:01.870006+00:00,RIGHTS 51:20 @ PREMIUM RS.390/- PER EQUITY SHARE,data\raw\corporate_actions\corporate_actions_20140201_20140228.json,4811c62d8232fde8779c64401704f9d313f3d298f506c24b1e2a412bd5408fee
CA_943bf15d9518ab3239fe,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.sebi.gov.in/web/?file=%2Fsebi_data%2Fattachdocs%2F1392876830610.pdf,Wheels India rights offer,SEBI,2014,2026-09-16T22:22:22.432813+00:00,Rights entitlement arose for Wheels India shareholders,,
CA_f8990b3551e9950dca04,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2014&to_date=28-02-2014,NSE corporate-action source record,NSE,2014-02-18,2026-09-14T16:49:01.870006+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20140201_20140228.json,4811c62d8232fde8779c64401704f9d313f3d298f506c24b1e2a412bd5408fee
CA_f8990b3551e9950dca04,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_WELSPUN_IM.pdf,Welspun Enterprises information memorandum,NSE,2014,2026-09-16T22:22:22.432813+00:00,Welspun Corp shareholders received Enterprises shares under demerger,,
CA_c0367514c7cc21c72f42,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-11-2013&to_date=30-11-2013,NSE corporate-action source record,NSE,2013-11-01,2026-09-14T16:48:59.636836+00:00,SCHEME OF ARRANGEMENT AND FIRST INTERIM DIVIDEND,data\raw\corporate_actions\corporate_actions_20131101_20131130.json,ee8bb90f04f7d6346e66e25f88905c28d055581d069b64897c5c7febaefc9aa7
CA_c0367514c7cc21c72f42,SUPPLEMENTAL_PRIMARY_RESEARCH,https://marico.com/global/media/detail/marico-consolidates-fmcg-business-demerges-kaya-to-be-listed-separately-as-marico-kaya-enterprises-ltd?id=211&type=press,Marico Kaya separation announcement,Marico,2013,2026-09-16T22:22:22.432813+00:00,Marico distributed Marico Kaya shares and announced an interim dividend,,
CA_25d92bfd331e98d5bc85,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2015&to_date=31-10-2015,NSE corporate-action source record,NSE,2015-10-29,2026-09-14T16:49:17.963588+00:00,PAYMENT OF AMOUNT OF BUYBACK TO BONDHOLDERS,data\raw\corporate_actions\corporate_actions_20151001_20151031.json,0db9d2029a1c2aa93616075f2d191e39829dad9bde7b5b095661341653432f69
CA_25d92bfd331e98d5bc85,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.idfcfirst.bank.in/content/dam/IDFCFirstBank/PDF/Annual-reports/IDFC-FIRST-Bank-Annual-Report-2019.pdf,IDFC FIRST Bank annual report,IDFC FIRST Bank,2019,2026-09-16T22:22:22.432813+00:00,Debt securities use H3 series and separate bond ISINs; source describes buyback payment to bondholders,,
CA_eb8ec60bd0c8f1584789,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2015&to_date=31-10-2015,NSE corporate-action source record,NSE,2015-10-29,2026-09-14T16:49:17.963588+00:00,PAYMENT OF AMOUNT OF BUYBACK TO BONDHOLDERS,data\raw\corporate_actions\corporate_actions_20151001_20151031.json,0db9d2029a1c2aa93616075f2d191e39829dad9bde7b5b095661341653432f69
CA_eb8ec60bd0c8f1584789,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.idfcfirst.bank.in/content/dam/IDFCFirstBank/PDF/Annual-reports/IDFC-FIRST-Bank-Annual-Report-2019.pdf,IDFC FIRST Bank annual report,IDFC FIRST Bank,2019,2026-09-16T22:22:22.432813+00:00,Debt securities use H4 series and separate bond ISINs; source describes buyback payment to bondholders,,
CA_a4d21420673221a0b482,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-08-2018&to_date=31-08-2018,NSE corporate-action source record,NSE,2018-08-29,2026-09-14T16:49:44.516489+00:00,CAPITAL REDUCTION RS 10 TO RS 3.30 / CONSOLIDATION RS 3.30 TO RS.10,data\raw\corporate_actions\corporate_actions_20180801_20180831.json,faaa4a22f667976319a4c7dcec5c17d4c83d7d7eab8158c45112b4422b99880d
CA_a4d21420673221a0b482,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-08-2018&to_date=31-08-2018,NSE corporate action record,NSE,2018-08-29,2026-09-16T22:22:22.432813+00:00,EQ issuer and ISIN match accepted Monnet Ispat identity; last official membership ended 2015-09-28,,
CA_8bd79e7b22c050462139,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2022&to_date=31-07-2022,NSE corporate-action source record,NSE,2022-07-22,2026-09-14T16:50:27.239397+00:00,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,data\raw\corporate_actions\corporate_actions_20220701_20220731.json,0257bbc5ec9d9119e5b5b1d2bab1054750709879258d9e2ec852cfda135ec53b
CA_8bd79e7b22c050462139,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2022&to_date=31-07-2022,NSE corporate action record,NSE,2022-07-22,2026-09-16T22:22:22.432813+00:00,EQ issuer and ISIN match accepted Supreme Petrochem identity; last official membership ended 2022-04-07,,
