symbol,isin,company_name
CPPLUS,INE819V01029,Aditya Infotech Limited
CRAFTSMAN,INE00LO01017,Craftsman Automation Limited
CRAMC,INE218I01013,Canara Robeco Asset Management Company Limited
CRAVATEX,INE145E01017,Cravatex Limited
CREATIVEYE,INE230B01021,Creative Eye Limited
CREDITACC,INE741K01010,CREDITACCESS GRAMEEN LIMITED
CREST,INE559D01011,Crest Ventures Limited
CRESTO,INE203Y01012,CRESTO TECHNO LIMITED
CRISIL,INE007A01025,Crisil Limited
CRIZAC,INE0S4R01014,Crizac Limited
CROMPTON,INE299U01018,Crompton Greaves Consumer Electricals Limited
CROWN,INE491V01019,Crown Lifters Limited
CRSL,INE716D01033,Cressanda Railway Solutions Limited
CSBBANK,INE679A01013,CSB Bank Limited
CSLFINANCE,INE718F01018,CSL Finance Limited
CSM,INE0ZK601013,CSM Technologies Limited
CTE,INE627H01017,Cambridge Technology Enterprises Limited
CUB,INE491A01021,City Union Bank Limited
CUBEXTUB,INE144D01012,Cubex Tubings Limited
CUMMINSIND,INE298A01020,Cummins India Limited
CUPID,INE509F01029,Cupid Limited
CURAA,INE117B01020,Cura Technologies Limited
CYBERMEDIA,INE278G01037,Cyber Media (India) Limited
CYBERTECH,INE214A01019,Cybertech Systems And Software Limited
CYIENT,INE136B01020,Cyient Limited
CYIENTDLM,INE055S01018,Cyient DLM Limited
DABUR,INE016A01026,Dabur India Limited
DAICHI,INE928C01010,Dai-Ichi Karkaria Limited
DALBHARAT,INE00R701025,Dalmia Bharat Limited
DALMIASUG,INE495A01022,Dalmia Bharat Sugar and Industries Limited
DAMCAPITAL,INE284H01025,Dam Capital Advisors Limited
DAMODARIND,INE497D01022,Damodar Industries Limited
DANGEE,INE688Y01022,Dangee Dums Limited
DATAMATICS,INE365B01017,Datamatics Global Services Limited
DATAPATTNS,INE0IX101010,Data Patterns (India) Limited
DAVANGERE,INE179G01029,Davangere Sugar Company Limited
DBCORP,INE950I01011,D.B.Corp Limited
DBEIL,INE0OPA01027,Deepak Builders & Engineers India Limited
DBL,INE917M01012,Dilip Buildcon Limited
DBOL,INE0I3401014,Dhampur Bio Organics Limited
DBREALTY,INE879I01012,Valor Estate Limited
DBSTOCKBRO,INE921B01025,DB (International) Stock Brokers Limited
DCAL,INE385W01011,Dishman Carbogen Amcis Limited
DCBBANK,INE503A01015,DCB Bank Limited
DCI,INE0A1101019,Dc Infotech And Communication Limited
DCM,INE498A01018,DCM  Limited
DCMFINSERV,INE891B01012,DCM Financial Services Limited
DCMNVL,INE08KP01019,DCM Nouvelle Limited
DCMSHRIRAM,INE499A01024,DCM Shriram Limited
DCMSIL,INE0OU201013,DCM Shriram International Limited
DCMSRIND,INE843D01027,DCM Shriram Industries Limited
DCW,INE500A01029,DCW Limited
DCXINDIA,INE0KL801015,DCX Systems Limited
DDEVPLSTIK,INE0HR601026,Ddev Plastiks Industries Limited
DECCANCE,INE583C01021,Deccan Cements Limited
DECNGOLD,INE945F01025,Deccan Gold Mines Limited
DEEDEV,INE841L01016,DEE Development Engineers Limited
DEEP,INE00IY01012,Deep Polymers Limited
DEEPA,INE1M2N01020,Deepa Jewellers Limited
DEEPAKFERT,INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,INE288B01029,Deepak Nitrite Limited
DEEPINDS,INE0FHS01024,Deep Industries Limited
DELHIVERY,INE148O01028,Delhivery Limited
DELPHIFX,INE726L01027,DELPHI WORLD MONEY LIMITED
DELTACORP,INE124G01033,Delta Corp Limited
DELTAMAGNT,INE393A01011,Delta Manufacturing Limited
DEN,INE947J01015,Den Networks Limited
DENORA,INE244A01016,De Nora India Limited
DENTA,INE0R4L01018,Denta Water and Infra Solutions Limited
DEVIT,INE060X01034,Dev Information Technology Limited
DEVX,INE0VOV01021,Dev Accelerator Limited
DEVYANI,INE872J01023,Devyani International Limited
DGCONTENT,INE03JI01017,Digicontent Limited
DHABRIYA,INE260R01016,Dhabriya Polywood Limited
DHAMPURSUG,INE041A01016,Dhampur Sugar Mills Limited
DHANBANK,INE680A01011,Dhanlaxmi Bank Limited
DHANUKA,INE435G01025,Dhanuka Agritech Limited
DHARAN,INE278R01034,DHARAN INFRA-EPC LIMITED
DHARMAJ,INE00OQ01016,Dharmaj Crop Guard Limited
DHATRE,INE715T01031,Dhatre Udyog Limited
DHOOTTRANS,INE01NH01023,Dhoot Transmission Limited
DHRUV,INE506Z01015,Dhruv Consultancy Services Limited
DHUNINV,INE320L01011,Dhunseri Investments Limited
DIACABS,INE989C01038,Diamond Power Infrastructure Limited
DIAMINESQ,INE591D01014,Diamines & Chemicals Limited
DIAMONDYD,INE393P01035,Prataap Snacks Limited
DICIND,INE303A01010,DIC India Limited
DIFFNKG,INE184O01015,Diffusion Engineers Limited
DIGIDRIVE,INE0PSC01024,Digidrive Distributors Limited
DIGISPICE,INE927C01020,DiGiSPICE Technologies Limited
DIGITIDE,INE0U4701011,Digitide Solutions Limited
DIGJAMLMTD,INE731U01028,Digjam Limited
DISAQ,INE131C01011,Disa India Limited
DISHTV,INE836F01026,Dish TV India Limited
DIVGIITTS,INE753U01022,Divgi Torqtransfer Systems Limited
DIVISLAB,INE361B01024,Divi's Laboratories Limited
DIXON,INE935N01020,Dixon Technologies (India) Limited
DJML,INE0B1K01014,DJ Mediaprint & Logistics Limited
DLF,INE271C01023,DLF Limited
DLINKINDIA,INE250K01012,D-Link (India) Limited
DMART,INE192R01011,Avenue Supermarts Limited
DMCC,INE505A01010,DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA,INE016M01021,Diligent Media Corporation Limited
DODLA,INE021O01019,Dodla Dairy Limited
DOLATALGO,INE966A01022,Dolat Algotech Limited
DOLLAR,INE325C01035,Dollar Industries Limited
DOLLEX,INE0JHH01011,Dollex Agrotech Limited
DOLPHIN,INE920A01037,Dolphin Offshore Enterprises (India) Limited
DOMS,INE321T01012,DOMS Industries Limited
DONEAR,INE668D01028,Donear Industries Limited
DPABHUSHAN,INE266Y01019,D. P. Abhushan Limited
DPSCLTD,INE360C01024,DPSC Limited
DPWIRES,INE864X01013,D P Wires Limited
DRAGARWQ,INE934C01018,Dr Agarwals Eye Hospital Limited
DRCSYSTEMS,INE03RS01027,DRC Systems India Limited
DREAMFOLKS,INE0JS101016,Dreamfolks Services Limited
DREDGECORP,INE506A01018,Dredging Corporation of India Limited
DRREDDY,INE089A01031,Dr. Reddy's Laboratories Limited
DSFCL,INE0OFM01015,DCM Shriram Fine Chemicals Limited
DSKULKARNI,INE891A01022,DS Kulkarni Developers Limited
DSSL,INE417B01040,Dynacons Systems & Solutions Limited
DTIL,INE341R01014,Dhunseri Tea & Industries Limited
DUCON,INE741L01018,Ducon Infratechnologies Limited
DVL,INE477B01010,Dhunseri Ventures Limited
DWARKESH,INE366A01041,Dwarikesh Sugar Industries Limited
DYCL,INE600Y01019,Dynamic Cables Limited
DYNAMATECH,INE221B01012,Dynamatic Technologies Limited
DYNPRO,INE256H01015,Dynemic Products Limited
E2E,INE255Z01027,E2E Networks Limited
EASEMYTRIP,INE07O001026,Easy Trip Planners Limited
EASTSILK,INE962C01035,Eastern Silk Industries Limited
EASTWEST,INE595R01023,East West Freight Carriers Limited
EBGNG,INE18JU01028,GNG Electronics Limited
EBIX,INE432F01032,EBIX Limited
ECLERX,INE738I01010,eClerx Services Limited
ECORECO,INE316A01038,Eco Recycling Limited
ECOSMOBLTY,INE06HJ01020,Ecos (India) Mobility & Hospitality Limited
EDELWEISS,INE532F01054,Edelweiss Financial Services Limited
EFCIL,INE886D01026,EFC (I) Limited
EICHERMOT,INE066A01021,Eicher Motors Limited
EIDPARRY,INE126A01031,EID Parry India Limited
EIEL,INE0LLY01014,Enviro Infra Engineers Limited
EIFFL,INE546V01010,Euro India Fresh Foods Limited
EIHAHOTELS,INE276C01014,EIH Associated Hotels Limited
EIHOTEL,INE230A01023,EIH Limited
EIMCOELECO,INE158B01016,Eimco Elecon (India) Limited
EKC,INE184H01027,Everest Kanto Cylinder Limited
EKI,INE0CPR01018,EKI Energy Services Limited
ELANTAS,INE280B01018,Elantas Beck India Limited
ELCIDIN,INE927X01018,EL CID Investments Limited
ELDEHSG,INE668G01021,Eldeco Housing And Industries Limited
ELECON,INE205B01031,Elecon Engineering Company Limited
ELECTCAST,INE086A01029,Electrosteel Castings Limited
ELECTHERM,INE822G01016,Electrotherm (India) Limited
ELGIEQUIP,INE285A01027,Elgi Equipments Limited
ELGIRUBCO,INE819L01012,Elgi Rubber Company Limited
ELIN,INE050401020,Elin Electronics Limited
ELITECON,INE669R01026,Elitecon International Limited
ELLEN,INE236E01022,Ellenbarrie Industrial Gases Limited
ELPROINTL,INE579B01039,Elpro International Limited
EMAMILTD,INE548C01032,Emami Limited
EMAMIPAP,INE830C01026,Emami Paper Mills Limited
EMAMIREAL,INE778K01012,Emami Realty Limited
EMBDL,INE069I01010,Embassy Developments Limited
EMCURE,INE168P01015,Emcure Pharmaceuticals Limited
EMIL,INE02YR01019,Electronics Mart India Limited
EMKAY,INE296H01011,Emkay Global Financial Services Limited
EMMBI,INE753K01015,Emmbi Industries Limited
EMMVEE,INE1C6T01020,Emmvee Photovoltaic Power Limited
EMPIND,INE515H01014,Empire Industries Limited
EMPOWER,INE507F01023,Empower India Limited
EMSLIMITED,INE0OV601013,EMS Limited
EMUDHRA,INE01QM01018,eMudhra Limited
ENDURANCE,INE913H01037,Endurance Technologies Limited
ENERGYDEV,INE306C01019,Energy Development Company Limited
ENGINERSIN,INE510A01028,Engineers India Limited
ENIL,INE265F01028,Entertainment Network (India) Limited
ENKEIWHEL,INE130L01014,Enkei Wheels (India) Limited
ENRIN,INE1NPP01017,Siemens Energy India Limited
ENTERO,INE010601016,Entero Healthcare Solutions Limited
EPACK,INE0G5901015,EPACK Durable Limited
EPACKPEB,INE0MLS01022,EPack Prefab Technologies Limited
EPIGRAL,INE071N01016,Epigral Limited
EPL,INE255A01020,EPL Limited
EQUIPPP,INE217G01035,Equippp Social Impact Technologies Limited
EQUITASBNK,INE063P01018,Equitas Small Finance Bank Limited
ERIS,INE406M01024,Eris Lifesciences Limited
ESABINDIA,INE284A01012,Esab India Limited
ESAFSFB,INE818W01011,ESAF Small Finance Bank Limited
ESCORTS,INE042A01014,Escorts Kubota Limited
ESDS,INE0DRI01029,ESDS Software Solution Limited
ESSARSHPNG,INE122M01019,Essar Shipping Limited
ESSENTIA,INE418N01035,Integra Essentia Limited
ESTER,INE778B01029,Ester Industries Limited
ETERNAL,INE758T01015,ETERNAL LIMITED
ETHOSLTD,INE04TZ01018,Ethos Limited
EUREKAFORB,INE0KCE01017,Eureka Forbes Limited
EUROBOND,INE505V01016,Euro Panel Products Limited
EUROPRATIK,INE198501012,Euro Pratik Sales Limited
EUROTEXIND,INE022C01012,Eurotex Industries and Exports Limited
EVEREADY,INE128A01029,Eveready Industries India Limited
EVERESTIND,INE295A01018,Everest Industries Limited
EXCELINDUS,INE369A01029,Excel Industries Limited
EXCELSOFT,INE606N01019,Excelsoft Technologies Limited
EXICOM,INE777F01014,Exicom Tele-Systems Limited
EXIDEIND,INE302A01020,Exide Industries Limited
EXPLEOSOL,INE201K01015,Expleo Solutions Limited
EXXARO,INE0GFE01026,Exxaro Tiles Limited
FABTECH,INE0HF201011,Fabtech Technologies Limited
FACT,INE188A01015,Fertilizers and Chemicals Travancore Limited
FAIRCHEMOR,INE0DNW01011,Fairchem Organics Limited
FAZE3Q,INE963C01033,Faze Three Limited
FCL,INE045J01034,Fineotex Chemical Limited
FCSSOFT,INE512B01022,FCS Software Solutions Limited
FDC,INE258B01022,FDC Limited
FEDDERSHOL,INE417D01020,Fedders Holding Limited
FEDERALBNK,INE171A01029,The Federal Bank  Limited
FEDFINA,INE007N01010,Fedbank Financial Services Limited
FEL,INE623B01027,Future Enterprises Limited
FELDVR,IN9623B01058,Future Enterprises Limited
FERMENTA,INE225B01021,Fermenta Biotech Limited
FIBERWEB,INE296C01020,Fiberweb (India) Limited
FIEMIND,INE737H01014,Fiem Industries Limited
FILATEX,INE816B01035,Filatex India Limited
FILATFASH,INE185E01021,Filatex Fashions Limited
FINCABLES,INE235A01022,Finolex Cables Limited
FINEORG,INE686Y01026,Fine Organic Industries Limited
FINKURVE,INE734I01027,Finkurve Financial Services Limited
FINOPB,INE02NC01014,Fino Payments Bank Limited
FINPIPE,INE183A01024,Finolex Industries Limited
FIRSTCRY,INE02RE01045,Brainbees Solutions Limited
FISCHER,INE771F01041,Fischer Medical Ventures Limited
FIVESTAR,INE128S01021,Five-Star Business Finance Limited
FLAIR,INE00Y201027,Flair Writing Industries Limited
FLEXITUFF,INE060J01017,Flexituff Ventures International Limited
FLFL,INE452O01016,Future Lifestyle Fashions Limited
FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Limited
FMGOETZE,INE529A01010,Federal-Mogul Goetze (India) Limited.
FMNL,INE360L01017,Future Market Networks Limited
FOCUS,INE593W01028,Focus Lighting and Fixtures Limited
FOODSIN,INE976E01023,Foods & Inns Limited
FORCEMOT,INE451A01017,FORCE MOTORS LTD
FORTIS,INE061F01013,Fortis Healthcare Limited
FOSECOIND,INE519A01011,Foseco India Limited
FRACTAL,INE212S01015,Fractal Analytics Limited
FREDUN,INE194R01017,Fredun Pharmaceuticals Limited
FRONTSP,INE572D01014,Frontier Springs Limited
FSL,INE684F01012,Firstsource Solutions Limited
FUSION,INE139R01012,Fusion Finance Limited
GABRIEL,INE524A01029,Gabriel India Limited
GAEL,INE036B01030,Gujarat Ambuja Exports Limited
GAIL,INE129A01019,GAIL (India) Limited
GAJA,INE18UN01038,Gaja Alternative Asset Management Limited
GALAPREC,INE0RE001014,Gala Precision Engineering Limited
GALAXYSURF,INE600K01018,Galaxy Surfactants Limited
GALLANTT,INE297H01019,Gallantt Ispat Limited
GANDHAR,INE717W01049,Gandhar Oil Refinery (India) Limited
GANDHITUBE,INE524B01027,Gandhi Special Tubes Limited
GANECOS,INE845D01014,Ganesha Ecosphere Limited
GANESHBE,INE388A01029,Ganesh Benzoplast Limited
GANESHCP,INE652V01016,Ganesh Consumer Products Limited
GANESHHOU,INE460C01014,GANESH HOUSING LIMITED
GANGAFORGE,INE691Z01023,Ganga Forging Limited
GANGESSECU,INE335W01016,Ganges Securities Limited
GARFIBRES,INE276A01018,Garware Technical Fibres Limited
GARUDA,INE0JVO01026,Garuda Construction and Engineering Limited
GATECH,INE224E01028,GACM Technologies Limited
GATECHDVR,INE224E01036,GACM Technologies Limited
GATEWAY,INE079J01017,Gateway Distriparks Limited
GAUDIUMIVF,INE0P8B01020,Gaudium IVF and Women Health Limited
GAYAHWS,INE287Z01012,Gayatri Highways Limited
GAYAPROJ,INE336H01023,Gayatri Projects Limited
GCSL,INE199P01028,Gretex Corporate Services Limited
GEECEE,INE916G01016,GeeCee Ventures Limited
GEEKAYWIRE,INE669X01032,Geekay Wires Limited
GEMAROMA,INE06XZ01023,Gem Aromatics Limited
GENCON,INE854S01022,Generic Engineering Construction and Projects Limited
GENESYS,INE727B01026,Genesys International Corporation Limited
GENSOL,INE06H201014,Gensol Engineering Limited
GENUSPAPER,INE949P01018,Genus Paper & Boards Limited
GENUSPOWER,INE955D01029,Genus Power Infrastructures Limited
GEOJITFSL,INE007B01023,Geojit Financial Services Limited
GESHIP,INE017A01032,The Great Eastern Shipping Company Limited
GFLLIMITED,INE538A01037,GFL Limited
GFSTEELS,INE534A01028,Grand Foundry Limited
GHCL,INE539A01019,GHCL Limited
GHCLTEXTIL,INE0PA801013,GHCL Textiles Limited
GICHSGFIN,INE289B01019,GIC Housing Finance Limited
GICL,INE947T01022,Globe International Carriers Limited
GICRE,INE481Y01014,General Insurance Corporation of India
GILLANDERS,INE047B01011,Gillanders Arbuthnot & Company Limited
GILLETTE,INE322A01010,Gillette India Limited
GINNIFILA,INE424C01010,Ginni Filaments Limited
GIPCL,INE162A01010,Gujarat Industries Power Company Limited
GKB,INE265D01015,GKB Ophthalmics Limited
GKENERGY,INE1AG301022,GK Energy Limited
GKSL,INE0V0W01025,Gujarat Kidney And Super Speciality Limited
GKWLIMITED,INE528A01020,GKW Limited
GLAND,INE068V01023,Gland Pharma Limited
GLAXO,INE159A01016,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,INE935A01035,Glenmark Pharmaceuticals Limited
GLFL,INE540A01017,Gujarat Lease Financing Limited
GLOBAL,INE291W01037,Global Education Limited
GLOBALE,INE0URU01010,Globale Tessile Limited
GLOBALVECT,INE792H01019,Global Vectra Helicorp Limited
GLOBE,INE581X01021,GLOBE ENTERPRISES (INDIA) LIMITED
GLOBECIVIL,INE0V3U01015,Globe Civil Projects Limited
GLOBUSSPR,INE615I01010,Globus Spirits Limited
GLOSTERLTD,INE350Z01018,Gloster Limited
GLOTTIS,INE0TQE01026,Glottis Limited
GMBREW,INE075D01018,GM Breweries Limited
GMDCLTD,INE131A01031,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR,INE541A01023,GMM Pfaudler Limited
GMRAIRPORT,INE776C01039,GMR AIRPORTS LIMITED
GMRP&UI,INE0CU601026,GMR Power and Urban Infra Limited
GNA,INE934S01014,GNA Axles Limited
GNFC,INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GNRL,INE207H01018,Gujarat Natural Resources Limited
GOACARBON,INE426D01013,Goa Carbon Limited
GOCLCORP,INE077F01035,GOCL Corporation Limited
GOCOLORS,INE0BJS01011,Go Fashion (India) Limited
GODAVARIB,INE497S01012,Godavari Biorefineries Limited
GODFRYPHLP,INE260B01028,Godfrey Phillips India Limited
GODIGIT,INE03JT01014,Go Digit General Insurance Limited
GODREJAGRO,INE850D01014,Godrej Agrovet Limited
GODREJCP,INE102D01028,Godrej Consumer Products Limited
GODREJIND,INE233A01035,Godrej Industries Limited
GODREJPROP,INE484J01027,Godrej Properties Limited
GOKEX,INE887G01027,Gokaldas Exports Limited
GOKUL,INE020J01029,Gokul Refoils and Solvent Limited
GOKULAGRO,INE314T01033,Gokul Agro Resources Limited
GOLDENTOBC,INE973A01010,Golden Tobacco Limited
GOLDIAM,INE025B01025,Goldiam International Limited
GOLDTECH,INE805A01014,AION-TECH SOLUTIONS LIMITED
GOODLUCK,INE127I01024,Goodluck India Limited
GOODYEAR,INE533A01012,Goodyear India Limited
GOPAL,INE0L9R01028,Gopal Snacks Limited
GOYALALUM,INE705X01026,Goyal Aluminiums Limited
GPIL,INE177H01039,Godawari Power And Ispat limited
GPPL,INE517F01014,Gujarat Pipavav Port Limited
GPTHEALTH,INE486R01017,GPT Healthcare Limited
GPTINFRA,INE390G01014,GPT Infraprojects Limited
GRADIENTE,INE361K01017,Gradiente Infotainment Limited
GRANDOAK,INE926B01016,Grand Oak Canyons Distillery Limited
GRANULES,INE101D01020,Granules India Limited
GRAPHITE,INE371A01025,Graphite India Limited
GRASIM,INE047A01021,Grasim Industries Limited
GRAUWEIL,INE266D01021,Grauer & Weil India Limited
GRAVISSHO,INE214F01026,Graviss Hospitality Limited
GRAVITA,INE024L01027,Gravita India Limited
GREAVESCOT,INE224A01026,Greaves Cotton Limited
GREENLAM,INE544R01021,Greenlam Industries Limited
GREENPANEL,INE08ZM01014,Greenpanel Industries Limited
GREENPLY,INE461C01038,Greenply Industries Limited
GREENPOWER,INE999K01014,Orient Green Power Company Limited
GRINDWELL,INE536A01023,Grindwell Norton Limited
GRINFRA,INE201P01022,G R Infraprojects Limited
GRMOVER,INE192H01020,GRM Overseas Limited
GROBTEA,INE646C01018,The Grob Tea Company Limited
GROWW,INE0HOQ01053,Billionbrains Garage Ventures Limited
GRPLTD,INE137I01015,GRP Limited
GRSE,INE382Z01011,Garden Reach Shipbuilders & Engineers Limited
GRWRHITECH,INE291A01017,Garware Hi-Tech Films Limited
GSFC,INE026A01025,Gujarat State Fertilizers & Chemicals Limited
GSLSU,INE0JSX01015,Global Surfaces Limited
GSPCROP,INE713R01022,GSP Crop Science Limited
GSS,INE871H01011,GSS Infotech Limited
GTECJAINX,INE586X01012,G-TEC JAINX EDUCATION LIMITED
GTL,INE043A01012,GTL Limited
GTLINFRA,INE221H01019,GTL Infrastructure Limited
GTPL,INE869I01013,GTPL Hathway Limited
GUFICBIO,INE742B01025,Gufic Biosciences Limited
GUJALKALI,INE186A01019,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,INE826C01016,Gujarat Apollo Industries Limited
GUJENERGY,INE844O01030,GUJARAT ENERGY LIMITED
GUJRAFFIA,INE610B01024,Gujarat Raffia Industries Limited
GUJTHEM,INE942C01045,Gujarat Themis Biosyn Limited
GULFOILLUB,INE635Q01029,Gulf Oil Lubricants India Limited
GULFPETRO,INE586G01017,GP Petroleums Limited
GULPOLY,INE255D01024,Gulshan Polyols Limited
GVKPIL,INE251H01024,GVK Power & Infrastructure Limited
GVPIL,INE878A01011,GE Power India Limited
GVPTECH,INE382T01030,GVP Infotech Limited
GVT&D,INE200A01026,GE Vernova T&D India Limited
GYFTR,INE724A01017,Gyftr Limited
HAL,INE066F01020,Hindustan Aeronautics Limited
HALDER,INE115S01010,Halder Venture Limited
HALDYNGL,INE506D01020,Haldyn Glass Limited
HALEOSLABS,INE320X01016,HALEOS LABS LIMITED
HAMPTON,INE299D01022,Hampton Sky Realty Limited
HAPPSTMNDS,INE419U01012,Happiest Minds Technologies Limited
HAPPYFORGE,INE330T01021,Happy Forgings Limited
HARDWYN,INE626Z01029,Hardwyn India Limited
HARIOMPIPE,INE00EV01017,Hariom Pipe Industries Limited
HARRMALAYA,INE544A01019,Harrisons  Malayalam Limited
HARSHA,INE0JUS01029,Harsha Engineers International Limited
HATHWAY,INE982F01036,Hathway Cable & Datacom Limited
HATSUN,INE473B01035,Hatsun Agro Product Limited
HAVELLS,INE176B01034,Havells India Limited
HAVISHA,INE293B01029,Sri Havisha Hospitality and Infrastructure Limited
HAWKINCOOK,INE979B01015,Hawkins Cookers Limited
HAZOOR,INE550F01049,Hazoor Multi Projects Limited
HBESD,INE640B01021,HB Estate Developers Limited
HBLENGINE,INE292B01021,HBL Engineering Limited
HBPOR,INE638B01025,HB Portfolio Limited
HBSL,INE550B01022,HB Stockholdings Limited
HCC,INE549A01026,Hindustan Construction Company Limited
HCG,INE075I01017,Healthcare Global Enterprises Limited
HCL-INSYS,INE236A01020,HCL Infosystems Limited
HCLTECH,INE860A01027,HCL Technologies Limited
HDBFS,INE756I01012,HDB Financial Services Limited
HDFCAMC,INE127D01025,HDFC Asset Management Company Limited
HDFCBANK,INE040A01034,HDFC Bank Limited
HDFCLIFE,INE795G01014,HDFC Life Insurance Company Limited
HDIL,INE191I01012,Housing Development and Infrastructure Limited
HEADSUP,INE759V01019,Heads UP Ventures Limited
HEALTHX,INE019J01013,Health X Platform Limited
HECPROJECT,INE558R01013,HEC Infra Projects Limited
HEG,INE545A01024,HEG Limited
HEIDELBERG,INE578A01017,HeidelbergCement India Limited
HEMIPROP,INE0AJG01018,Hemisphere Properties India Limited
HERANBA,INE694N01015,Heranba Industries Limited
HERITGFOOD,INE978A01027,Heritage Foods Limited
HEROMOTOCO,INE158A01026,Hero MotoCorp Limited
HESTERBIO,INE782E01017,Hester Biosciences Limited
HEXAGON,INE0JUI01012,Hexagon Nutrition Limited
HEXATRADEX,INE750M01017,Hexa Tradex Limited
HEXT,INE093A01041,Hexaware Technologies Limited
HFCL,INE548A01028,HFCL Limited
HGINFRA,INE926X01010,H.G. Infra Engineering Limited
HGM,INE596H01014,HandsOn Global Management (HGM) Limited
HGS,INE170I01016,Hinduja Global Solutions Limited
HIKAL,INE475B01022,Hikal Limited
HILINFRA,INE00RL01028,Highway Infrastructure Limited
HILTON,INE788H01017,Hilton Metal Forging Limited
HIMATSEIDE,INE049A01027,Himatsingka Seide Limited
HINDADH,INE074C01013,Hindustan Adhesives Limited
HINDALCO,INE038A01020,Hindalco Industries Limited
HINDALUMI,INE227B01019,Hind Aluminium Industries Limited
HINDCOMPOS,INE310C01029,Hindustan Composites Limited
HINDCON,INE642Y01029,Hindcon Chemicals Limited
HINDCOPPER,INE531E01026,Hindustan Copper Limited
HINDOILEXP,INE345A01011,Hindustan Oil Exploration Company Limited
HINDPETRO,INE094A01015,Hindustan Petroleum Corporation Limited
HINDUNILVR,INE030A01027,Hindustan Unilever Limited
HINDWAREAP,INE05AN01011,Hindware Home Innovation Limited
HINDZINC,INE267A01025,Hindustan Zinc Limited
HIRECT,INE835D01023,Hirect Limited
HISARMETAL,INE598C01011,Hisar Metal Industries Limited
HITECH,INE106T01025,Hi-Tech Pipes Limited
HITECHCORP,INE120D01012,Hitech Corporation Limited
HITECHGEAR,INE127B01011,The Hi-Tech Gears Limited
HLEGLAS,INE461D01028,HLE Glascoat Limited
HLVLTD,INE102A01024,HLV LIMITED
HMAAGRO,INE0ECP01024,HMA Agro Industries Limited
HMT,INE262A01018,HMT Limited
HMVL,INE871K01015,Hindustan Media Ventures Limited
HNDFDS,INE254N01026,Hindustan Foods Limited
HOMEFIRST,INE481N01025,Home First Finance Company India Limited
HONASA,INE0J5401028,Honasa Consumer Limited
HONAUT,INE671A01010,Honeywell Automation India Limited
HONDAPOWER,INE634A01018,Honda India Power Products Limited
HORIZONIND,INE685T01010,Horizon Industrial Parks Limited
HPAL,INE0GSL01024,HP Adhesives Limited
HPIL,INE05X901010,Hindprakash Industries Limited
HPL,INE495S01016,HPL Electric & Power Limited
HRYNSHP,INE400G01011,Hariyana Ship Breakers Limited
HSCL,INE019C01026,Himadri Speciality Chemical Limited
HTEL,INE0LEG01024,Hy-Tech Engineers Limited
HTMEDIA,INE501G01024,HT Media Limited
HUBTOWN,INE703H01016,Hubtown Limited
HUDCO,INE031A01017,Housing & Urban Development Corporation Limited
HUHTAMAKI,INE275B01026,Huhtamaki India Limited
HYBRIDFIN,INE965B01022,Hybrid Financial Services Limited
HYUNDAI,INE0V6F01027,Hyundai Motor India Limited
IBULLSLTD,INE126M01010,Indiabulls Limited
ICDSLTD,INE613B01010,ICDS Limited
ICEMAKE,INE520Y01019,Ice Make Refrigeration Limited
ICICIAMC,INE346A01027,ICICI Prudential Asset Management Company Limited
ICICIBANK,INE090A01021,ICICI Bank Limited
ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Limited
ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Limited
ICIL,INE483B01026,Indo Count Industries Limited
ICRA,INE725G01011,ICRA Limited
IDBI,INE008A01015,IDBI Bank Limited
IDEA,INE669E01016,Vodafone Idea Limited
IDEAFORGE,INE349Y01013,Ideaforge Technology Limited
IDFCFIRSTB,INE092T01019,IDFC First Bank Limited
IEX,INE022Q01020,Indian Energy Exchange Limited
IFBAGRO,INE076C01018,IFB Agro Industries Limited
IFBIND,INE559A01017,IFB Industries Limited
IFCI,INE039A01010,IFCI Limited
IFGLEXPOR,INE133Y01011,IFGL Refractories Limited
IGARASHI,INE188B01013,Igarashi Motors India Limited
IGCL,INE05J901018,Indogulf Cropsciences Limited
IGIL,INE0Q9301021,International Gemological Institute Limited
IGL,INE203G01027,Indraprastha Gas Limited
IGPL,INE204A01010,IG Petrochemicals Limited
IIFL,INE530B01024,IIFL Finance Limited
IIFLCAPS,INE489L01022,IIFL Capital Services Limited
IITL,INE886A01014,Industrial Investment Trust Limited
IKIO,INE0LOJ01019,IKIO Technologies Limited
IKS,INE115Q01022,Inventurus Knowledge Solutions Limited
IL&FSENGG,INE369I01014,IL&FS Engineering and Construction Company Limited
IL&FSTRANS,INE975G01012,IL&FS Transportation Networks Limited
IMAGICAA,INE172N01012,Imagicaaworld Entertainment Limited
IMFA,INE919H01018,Indian Metals & Ferro Alloys Limited
IMPAL,INE547E01014,India Motor Parts and Accessories Limited
IMPEXFERRO,INE691G01015,Impex Ferro Tech Limited
